id,1 category,2 sub_category,3 détail category,user_id,title,satisfaction,satisfaction_details,test_date,location,location_brand,category,sub_category,product,comment,note,visible,created_at,updated_at,product_name,product_brand
13, Cosmetics,Service in stores,,3166,[Satisfaction Conseil & Achat][Shiseido and SK-2],Oui,Conseil & Achat,10/7/2017,Tangs Orchard Road Singapore Singapour,Shiseido and SK-2,,,Level 1 beauty counters,"Both beauty advisers let me test out the products on my hand. I could see the immediate differences on the skin on my hand. They advise me the products I should use, and the way to use it effectively.",5,1,10/13/17 0:04,10/13/17 16:52,"Brightening products, and SK-2 essense",Shiseido and SK-2
14, Cosmetics,Lip make-up,Classic lipstick,1900,[Satisfaction Achat][YSL],Oui,Achat,10/11/2017,ION Orchard Mall Singapore Singapour,YSL,,Lips make-up,YSL Lipstick,I love the lipstick.  It stays and does not make my lip dry even I did not put on lip balm.,1,1,10/13/17 8:13,10/13/17 16:56,Rouge Pur Couture,YSL
15,Transportation,Cab,,1340,[Satisfaction Service][Grab],Oui,Service,10/13/2017,Singapore 329776,Grab,,,Grad taxi ride,"I booked and took a Grab taxi to airport for a recent trip overseas (2 weeks ago) and was surprised by the efficiency of this service. The wait for a vehicle was short and driver was helpful compared to other rides we have taken. Most of all the fare is reasonable, cheaper than usual ride even with the tip given to driver.",5,1,10/13/17 8:22,10/13/17 16:58,Grab,Grab taxi
16, Cosmetics,Rinsed make-up remover,Cleansing gel,1340,[Satisfaction Conseil & Achat][Kao biore],Oui,Conseil & Achat,10/13/2017,Singapore 329776,Kao biore,,Face care,Cleanser,"This cleanser has been introduced by a friend and I love it. Though it's cleansing oil but it doesn't leave an oily feel and you can just rinse off with water and leave your skin clean and doesn't feel dry. Price is also reasonable, will continue using this product for sure",5,1,10/13/17 8:26,10/13/17 17:01,Cleansing oil,Kao biore
17,Fashion,Service in stores,,4760,[Mécontentement Service][Prada],Non,Service,10/12/2017,Ion Orchard Singapour,Prada,,Leather goods,Customer service,"I bought a bag in Prada Space Hong Kong and discovered the straps are too long for me. I had to cut. Upon returning to my apartment in Hong Kong, i realised the word PRADA is also not properly aligned. The letter P is slightly down. Stitches were not consistent too. 
So i went to Prada @ Ion Mall to get all the answers to my question. 2 staff attended to me and both mentioned this same thing: ""you bought this bag at Space Hong Kong, they are usually old season"".
I got agitated. An old season bag has NO relations to my logo and stitches not aligned and consistent. An old season bag does not justify why the workmanship of my bag is not up to Prada's standard. I was disappointed beyond words.",1,1,10/13/17 10:24,10/13/17 17:04,Prada's bag,Prada
18, Cosmetics,Eye make-up,Eye liner,975,[Satisfaction Achat][Any Watson outlets],Oui,Achat,7/7/2015,Singapore,Any Watson outlets,,Eye make-up,Eye-Liner,"I have been finding for an eye-liner that will not smudge nor leave me panda-eye for a few years.  Finally, I found it in  K-Palette 24H Real Lasting Eyeliner.  I can wear it the whole day and not a single smudge or panda-eye after-effect at all.  This is my only brand eye-liner now.  And the best part is that it comes right off easily and immediately with water .  Simply amazing!",5,1,10/13/17 13:26,10/13/17 17:08,24H Real Lasting Eyeliner,K-Palette
19,Food,Thai food,,6029,[Satisfaction Achat][April Bakery],Oui,Achat,10/14/2017,Singapour 570203,April Bakery,,Thai food,Assorted Pastery,"A pastery from April Bakery, they have yam, Soy bean, sesame Pastery tau sa Pai. The skin of the tao sa pai are soft & tender,The Pastery skin are tasty  & chewy. Is just that the pricing at Singapore are expensive.",4,1,10/14/17 18:42,10/16/17 16:33,Assorted Pastery,April Bakery
20, Cosmetics,Complexion make-up,Fluid foundation,3800,[Satisfaction Achat][Fenty Rihana],Oui,Achat,10/14/2017,Sephora Singapore,Fenty Rihana,,Face make-up,Foundation,"I am really impressed with it. It gives a Matt finish (so it might be abit drying) but because of that it stays on the whole day without the oiliness. Great coverage for someone like me who has pigmentation concern. It is buildable with medium to full coverage. 
Love it!! (Guess I be using it for quite awhile till something new comes along)",5,1,10/14/17 21:53,10/16/17 16:35,Pro  Filt’r foundation,Fenty Beauty by Rihana
21, Cosmetics,Rinsed make-up remover,Oil-based make-up remover,1340,[Satisfaction Achat][Innisfree],Oui,Achat,10/16/2017,Singapore 329776,Innisfree,,Make-up remover,Lip and eye remove,This product is not really greasy and clean eye and lip make-up thorough.  After rinsing off with water skin doens't feel any residual.  Price is reasonable,4,1,10/16/17 9:05,10/16/17 16:37,Lip and eye remover,Innisfree
22,Transportation,Airline,,1340,[Satisfaction Achat][British airways],Oui,Achat,10/16/2017,British airways's plane,British airways,,,Flight to Sydney,"Flight was good and on time, but food on return flight was not good, a piece of fish with no gravy. Other flaw is the baggage allowance is rather low compared with other carriers, it 23 kgs and only allowed one check-in bag. Other than these, it's a marked change in improved service level compared to my own experience some year back.",4,1,10/16/17 9:10,10/16/17 16:39,Return flight to sydney,British airways
23,Transportation,Cab,,4943,[Satisfaction Achat][Grab],Oui,Achat,10/16/2017,Singapore 229957,Grab,,,Daily user of Grab,"I'm a daily user of Grab and they have been given me daily S$5 off hence from Monday to Sunday I take grab to work. However, recently, the S$5 off was used up quickly, it was not available when I needed it. There were times when the driver cancelled my booking while I was in a hurry and I ended up late for my appointment and the fare became too expensive to take grab. I ended up using public transport. There were also times when I have to wait more than 10 mins despite the fact that the screen showing arriving in 4-5 mins times. Despite all these, Grab is still the best after all, with the attractive discount, it is still affordable to use and gave me much convenience. 
However, I still prefer the original 4 trips offer discount to me when I top up the credits to Grabpay. As the discount is always there for me, makes me feel priority as a customer, rather than the current offer of limited redemption daily.",5,1,10/16/17 14:24,10/16/17 16:41,Grab,Grab
24,CLUB SYRES,Others,,3101,[Satisfaction Service][Syres],Oui,Service,10/17/2017,Singapore,Syres,,,All famous brands,I like this platform which allow me to test great products and share my experiences or results with potential customers. The testing allow me to evaluate and get the first hand usage of the niche products.,10,1,10/17/17 10:36,10/17/17 14:52,All famous brands,Syres
25,Food,Services,,3343,[Satisfaction Service][Takashimaya],Oui,Service,10/13/2017,Recherche Internet,Takashimaya,,Chinese food,Yong Tau Foo,"The Yong Tau Foo  is really fabulous, especially the mushrooms in their special sauce, the fried Yong Tau Foo and the soup is tasty. The staff are generous too. They gave an extra bowl of soup when I asked for another. I had a big bowl of soup with ingredients in it and a small bowl of soup. They have another branch at Lucky Plaza Level 6. There's always a long queue when I go there.",5,1,10/18/17 18:22,10/19/17 14:03,Yong Tau Foo,Yong Tau Foo
26, Cosmetics,Eye make-up,Eye shadow,1331,[Satisfaction Achat][M A C @ Tangs],Oui,Achat,10/19/2017,Singapore,M A C @ Tangs,,Eye make-up,Eye Shadow,I like this product because the eye make up is not loud for any occasion. I like this foundation too because it give me a smooth finish and matches my skin tone.,5,1,10/19/17 10:21,10/19/17 14:05,Eye Shadow,YSL
27,Food,Shops,,1080,[Mécontentement Conseil & Achat][White Sands Mall],Non,Conseil & Achat,10/19/2017,Pasir Ris Singapore Singapour,White Sands Mall,,Japanese food,Maki - Jap Rice Roll,"This is my first time trying after waiting for so long to try and I arrived during opening time which is 1130am but the store still had the 'Closed' sign displayed. Anyhoooo ordering is straightforward and a breeze although the order slips can be identified in a clearer way for newbies. 
We didn't have to wait too long for the roll but when I stepped into the store, I was quite dismayed by the ingredients that did not look fresh. Bruised avocados, powdery bonito etc.
Taste wise there was too much 'sauce' for my liking and too little salmon sashimi in each bite. The roll itself was also not too fat.
I love sushi so would love to have it everyday but 9.90 for a Megasan is pricey to have everyday.",3,1,10/19/17 13:16,10/19/17 14:08,Megasan Sushi Roll,Makisan
28,Transportation,Cab,,5813,[Satisfaction Service][Grab],Oui,Service,10/18/2017,Singapore Changi Airport Terminal 1,Grab,,,GrabHitch,it is a lot more affordable than taking taxi. I spent $15.00 for 1-way trip from Singapore Changi Airport T1 to Clementi MRT on a weekday night.,5,1,10/19/17 15:53,10/20/17 17:36,GrabHitch,Grab
29, Cosmetics,Complexion make-up,Compact foundation,4908,[Satisfaction Achat][Plaza Singapura],Oui,Achat,10/19/2017,Sephora Singapore,Plaza Singapura,,Face make-up,Foundation,"The texture of the foundation stick was great, and I love the smooth coverage. Super <3 this!",5,1,10/19/17 22:45,10/20/17 17:37,Fenti,Fenti
30,Transportation,Cab,,4908,[Satisfaction Achat][Grab],Oui,Achat,10/19/2017,Singapore,Grab,,,Grab,Grab is usually quite OK and I love the discounts that they give me. Just that it is rather annoying when a driver cancels on you without reason. But rather take Grab than Uber as they always have extra credit card charges.,4,1,10/19/17 22:51,10/20/17 17:38,Grab,Grab
31,Fashion,Leatherwork/bags,,5317,[Satisfaction Conseil & Achat][Saint Laurent],Oui,Conseil & Achat,9/28/2017,"Barcelona, Spain",Saint Laurent,,,Buying a bag,"I absolutely LOVE the customer service I received in Barcelona. Usually, before going into a branded shop, I would have done my research earlier on. I do not need to browse around and I do not need to be 'introduced' to products. YSL was no different - I went in and asked for the bag I wanted. The sales associate was friendly and courteous. He quickly brought out what I wanted and I was ready to pay (he was surprised that I made my decision so soon). Overall, the service was top notch and we had a great conversion from beginning to end.",5,1,10/20/17 14:39,10/20/17 17:40,Large Black Leather Shopping Bag,Saint Laurent
32, Cosmetics,Complexion make-up,Cushion foundation,5317,[Satisfaction Achat][The Face Shop],Oui,Achat,10/20/2017,Singapore,The Face Shop,,Face make-up,Cushion Foundation,"LOVE LOVE LOVE this product. It goes on smooth and there's a cooling effect when you apply the foundation on your face. I've tried a few brands (including J.One endorsed by Ha Ji Won), but this is by far the best. The foundation itself last about 1-2 months (depending how often you put it on). The price is quite reasonable (especially, when they sell refills).",5,1,10/20/17 14:45,10/20/17 17:41,CC Cooling Cushion SPF42 PA+++ V203,The Face Shop
33, Cosmetics,non-rinsed make-up remover,Oil-based make-up remover,5618,[Satisfaction Achat][Watson],Oui,Achat,10/21/2017,Singapore,Watson,,Make-up remover,Makeup remover,I want to say this product is really effective to remove my make up thoroughly and almost instantly. It is really handy when I feel tired and at the same time want to remove my makeup faster :) Price wise it is affordable and Kao Brand is popular with excellent skincare qualtiy brand so that I always choose Kao Biore Cleansing Oil in addition to Kao Biore facial wash,5,1,10/21/17 0:23,10/23/17 12:35,Kao Biore Cleansing Oil,Kao
34, Cosmetics,Eye make-up,Eye liner,5618,[Satisfaction Achat][Watsons and Guardian],Oui,Achat,10/21/2017,Singapore,Watsons and Guardian,,Eye make-up,Liquid Eye Liner,I am satisfied with this liquid eye liner as the tip of the liner is quite sharp so that easier for me to make perfect eye liner that I always desire in shorter time plus it is lasting and waterproof. It is sold at reasonable price plus there is Alice in wonderland character on the K-Palette 24H Real Lasting Eye liner which makes this liquid eye liner is speciall as Alice in Wonderland also my favourite cartoon character,5,1,10/21/17 0:31,10/23/17 12:36,K-Palette Liquid Eye Liner,K-Palette
35,Well-being & Health,Health supplement,,3256,"[Satisfaction Surf web][Brand's, Try And Review]",Oui,Surf web,9/14/2017,Singapore,"Brand's, Try And Review",,Others,Health supplement,I was suffering from my most intense knee joint pain when I started the first ActivMove; it eased half of my pain on the second day intake and the pain subsided till full recovery within this ten days trial....,5,1,10/28/17 10:24,10/29/17 14:42,ActivMove,Brand's
36,Cybercommerce,Commercial website,,4804,[Satisfaction Autre][LiveUp],Oui,Autre,10/29/2017,Singapore,LiveUp,,,eCommerce Membership,"I took on the 60-day trial for Liveup and was very pleased with the perks this scheme offers because I am a regular online shopper through Lazada. I'd get 5% rebates on my Lazada purchases and free delivery too. Since I take Uber rides very often, this Liveup also gives me one free ride (worth up to $10) with every 9 rides I take through Uber. Hence, I paid for the annual subscription of $28.80 after trial ended and continued to enjoy the perks + free Netflix (total 6 months free!).",5,1,10/29/17 18:33,10/31/17 9:33,LiveUp (Lazada),LiveUp
37,Fashion,Ready-made clothes,,4804,[Satisfaction Autre][Style Theory],Oui,Autre,10/29/2017,Singapore,Style Theory,,Ready-made clothes,Clothes Sharing,"I now enjoy an assortment of different styled clothing for work and play, by just paying a flat rate of $129 per month.
No hassle of washing the clothes I rented too as the rented clothes are to be returned unwashed (provider will arrange for their own laundry). The clothes I selected will be delivered and collected from my doorstep at no extra fee.

 This clothes sharing app is perfect for fashion-loving ladies (who do not like to do laundry :p).",5,1,10/29/17 18:37,10/31/17 9:34,StyleTheory,StyleTheory
38,Transportation,Cab,,1596,[Satisfaction Service][Grab],Oui,Service,11/2/2017,Bukit Timah Road Singapore,Grab,,,carpooling,I was pleasantly surprised that the driver communicated promptly and picked up as per the arranged time. Journey was pleasant and driver was friendly too. The fare was reasonable and I would definitely utilise the service again.,5,1,11/6/17 12:46,11/6/17 19:34,Grab,Grab
39,Transportation,Cab,,4264,[Satisfaction Service][Grab],Oui,Service,11/6/2017,Singapore,Grab,,,Grabpay,"Initially when I started taking Grabpay, the fare discounts got me excited! Over time the fare promotion went from $5 off to $3 off to fully redeemed so not so exciting. 

Also, during peak hours the fare was double at times of when I took it during off-peak for same journey plus the waiting time from 2-3 mins became 10-12 mins.

Lastly, I was told by one of the Grab drivers that it was illegal to take Grab cab with toddler cos of the lack of seat belt. That was a real bummer.",3,1,11/6/17 21:31,11/7/17 16:00,Grabpay,Grab
40, Cosmetics,non-rinsed make-up remover,Wipes,3952,[Satisfaction Achat][Kao Biore],Oui,Achat,1/3/2017,Singapore,Kao Biore,,Make-up remover,Make up remover wipes,I have been using Kao Biore Make up remover Wipes since begining of 2017. I really love it so much. Make up is easily removed and face does not feel dry. And the travel pack so convenience that i bring it everywhere i goes.This is really a good product and I think all ladies will love it.,5,1,11/7/17 14:44,11/7/17 16:02,Make up remover wipes,Kao Biore
41, Cosmetics,Complexion make-up,Fluid foundation,1331,[Satisfaction Achat][Foundation],Oui,Achat,11/10/2017,TANGS Singapore,Foundation,,Face make-up,Foundation,"I like this foundation because it give me a smooth finish and matches my skin tone. After using the eye-shadow its too loud for my skin tone , don't have the smooth finish",2,1,11/10/17 13:40,11/10/17 15:44,YSL,Foundation
42, Cosmetics,Rinsed make-up remover,Cleansing gel,3256,"[Mécontentement Achat][Gaurdian, Ang Mo kio]",Non,Achat,10/10/2017,Singapore,"Gaurdian, Ang Mo kio",,Make-up remover,Make-up Remover Eye & Lip,"I had tried / used up half of the smallest bottle, it is not oily though but the skin still doesn't feel clean.",1,1,11/12/17 16:45,11/21/17 12:08,Makeup Remover Eye & Lip,Maybelline
43, Cosmetics,Face mask,Face mask,3256,"[Satisfaction Achat][Nice Cosmetics, Compass One]",Oui,Achat,11/8/2017,Singapore,"Nice Cosmetics, Compass One",,Facial mask,A mask,"Cheapest in town for buy one get one free at $1.90!  A bit troublesome though having to pour the acid into the mud to knead it first....  Super duper easy to the maximum application cum wash off, so much till even enough to apply the neck as well as the shoulder, deep cleanse results !!",4,1,11/12/17 20:00,11/21/17 12:10,CO2 Creamy Mask [Charcoal],Celkin
44, Cosmetics,non-rinsed make-up remover,Cleansing water,1485,[Satisfaction Achat][Innisfree],Oui,Achat,11/14/2017,Vivo,Innisfree,,Make-up remover,Makeup remover,"High quality packaging bottle (pump type) just need open the cap, place a cotton pad & pump the solution.
No wastage, hygiene.  
Water base, works well to remove my non water proof mascara",5,1,11/14/17 7:16,11/21/17 12:10,Innisfree Green Tea Cleansing Water,Innisfree
45,Leisure/travel,Hôtel,,1961,[Satisfaction Service][Andaz Hotel],Oui,Service,11/18/2017,Singapore,Andaz Hotel,,Others,Service & Food,"I was not expecting this high service of alertness & attention from a brand new hotel, Andaz Hotel at Bugis. 
This said gentleman in beige jacket. When he noticed I was looking for someone to approach he quickly came to our aid. My brother's pair of new shoes gave way & badly needed glue to fix. He offered 1) his staff shoes for my brother to wear, but size too small 2) got my brother a seat 3) looked for bedroom slippers 4) got his carpentry/engineering to fix up his shoes.
During cocktail reception, where free standing, an Indian service personnel also brought in chairs for an elderly couple.
Needless to say, serving of food was good & in abundance. We jokingly said although it's wedding lunch it included dinner too. No dinner needed thereafter. Their service was excellent.
We wish their business will thrive towards prosperity & excellence.",4,1,11/19/17 15:16,11/21/17 12:13,Wedding Cocktail & Lunch/Dinner,The Glasshouse Wedding Occasion
46, Cosmetics,Eye make-up,Mascara,6258,[Satisfaction Achat][it mascara],Oui,Achat,11/21/2017,Recherche Internet,it mascara,,Make-up remover,Superhero,Never heard of this brand. but bought after being recommended by sales staff.. super good.loves it. a mascara. thick and luscious lashes,5,1,11/21/17 14:10,11/22/17 10:53,superhero,it mascara
47, Cosmetics,non-rinsed make-up remover,Oil-based make-up remover,5664,[Satisfaction Achat][Fancl],Oui,Achat,11/21/2017,Changi Singapore,Fancl,,Face make-up,Mild Cleansing Oil,"I felt that it was really good for removing make up and will not clog pores. It does not leave a tight feeling on the face after washing. I was hesitant to use it at first as I thought that it will make your face oily and clog pores.  But upon trying it, it was really good and easy to use.  It does not have the oily kind of feel & make up on the face was removed smoothly. off.",5,1,11/21/17 14:51,11/22/17 10:55,Mild Cleansing Oil,Fancl
48,Transportation,Transport package,,3256,[Satisfaction Service][EasyParcel],Oui,Service,8/13/2017,Singapore,EasyParcel,,Send mail,Monetary,There is free credits upon registration....  I got $25 at that point of time.,5,1,11/30/17 19:21,12/1/17 16:09,EasyParcel,EasyParcel
49,Transportation,Cab,,3256,[Satisfaction Service][Grab],Oui,Service,9/15/2017,Singapore,Grab,,,A communication,"Super duper rude to the maximum....
I: Hello!
He: No greeting.
I: You may like to U-turn which is faster.
He: Didn't reply!
I: Aa.... This side (he turned into the exit lane instead of the entry one)!
He: None sound!
I: Thank you.
He: Still 'mute'....",1,1,11/30/17 19:34,12/1/17 17:10,Grab,Grab
50,Transportation,Cab,,3256,[Satisfaction Service][Grab],Oui,Service,10/5/2017,Singapore,Grab,,,Comfortability,Driver arrived with both front windows wind down thus the taxi was very stuffy (air-conditioner not cooling in time).... And the cab was filled with cigarette smoke smell.,3,1,11/30/17 19:38,12/1/17 17:11,Grab,Grab
51, Cosmetics,Face care,Toner,3256,[Satisfaction Achat][White Sand],Oui,Achat,12/14/2017,Singapore,White Sand,,Others,A tonic,"First feeling:
Super duper easy to the maximum spray
The mint is not strong at all unlike 'all' other brands
Nice fragrant but only lasted for a few minutes",3,1,12/15/17 16:12,12/22/17 16:39,ANTI HAIR-FALL TONIC,head & shoulders
52, Cosmetics,Personal hygiene,Toothpaste,3256,[Satisfaction Conseil & Achat][SAMPLESTORE],Oui,Conseil & Achat,11/18/2017,Singapore,SAMPLESTORE,,Dental products,A toothpaste,"The color is very white.  Initially it tastes a little like mild Chinese herb, overall it is fine....  Not foamy!",3,1,12/15/17 22:24,12/22/17 16:39,Yunnan Baiyao Probiotic Toothpaste,Yunnan Baiyao
53, Cosmetics,Grooming,Shampoo for hair and body,3256,[Satisfaction Conseil & Achat][SAMPLESTORE],Oui,Conseil & Achat,11/23/2017,Singapore,SAMPLESTORE,,Body care,A body shampoo,"Comfortable white color, fragrance-free, does not irritate my sensitive skin !!  Whereas I did not feel extra-ordinary smooth after use....",3,1,12/15/17 22:35,12/22/17 16:38,QV Gentle Wash,QV
54, Cosmetics,non-rinsed make-up remover,Oil-based make-up remover,3530,[Satisfaction Achat][Watson],Oui,Achat,12/16/2017,Singapore,Watson,,Make-up remover,Makeupremover,The makeup remover really works. Its effective to remove makeup.,5,1,12/16/17 20:23,12/22/17 16:38,Makeup remover,Makeup remover
55, Cosmetics,Face care,Toner,3530,[Satisfaction Achat][Innisfree],Oui,Achat,12/16/2017,Singapore,Innisfree,,Face care,Toner,High quality. Contains no alcohol and it makes my face feels really clean.,5,1,12/16/17 20:25,12/22/17 16:37,Jeju volcano pore toner,Innisfree
56, Cosmetics,non-rinsed make-up remover,Cleansing water,3530,[Satisfaction Achat][Watson],Oui,Achat,7/1/2017,Singapore,Watson,,Make-up remover,Cleansing water,No rinse off require. My face does not feel dry after cleansing. It suitable for sensitive skin.,5,1,12/16/17 20:27,12/22/17 16:35,Micellar cleansing water,Garnier
57,Transportation,Transport package,,3256,[Satisfaction Conseil & Achat][EasyParcel],Oui,Conseil & Achat,12/15/2017,Singapore,EasyParcel,,Send mail,The procedure,"As compared to the previous courier company, attaching this self-print consignment note was much simpler whereas neither the courier man's signature nor mine was required when he collected the item from me thus I felt insecure.",3,1,12/23/17 1:48,12/28/17 11:01,SF Express,EasyParcel
58, Cosmetics,non-rinsed make-up remover,Oil-based make-up remover,1475,[Satisfaction Achat][Watson],Oui,Achat,12/31/2017,465560,Watson,,Make-up remover,Kao cleansing oil,The product is not expensive and effective. Quick to remove all makeup.,5,1,12/31/17 15:55,1/2/18 10:33,Cleansing oil,Kao
59,Transportation,Cab,,4943,[Satisfaction Achat][Grab],Oui,Achat,12/31/2017,Lavender,Grab,,,Carpooling,"Today I took my Mother from lavender to Jurong west to visit a doctor for her joint injection, this was our second injection, thanks to grab, the ride was smooth, the driver was caring for our safety to drive us into the carpark to let us alight. Because of the $5 I was able save much considering the trip was Long and I got to spent much on the injection. 

Then it rained the whole day and barely 15mins to 12 noon, the fare jumped from $9.50 to $22! (Grab share) we got to sit outside the clinic waiting for the price to come down since it was only drizzling! We wasted about 45 mins then finally paid $14 after discount to go home. While picking up another passenger, we waited some 4 mins, the driver called the lady said she's walking to the pick up point but came a foul-smelling man wearing sunglasses on a rainy day. I saw the driver stealing a few glances at the weird passenger while driving us to my flat. 

After lunch I took another trip to my friend's house and a BMW grab car pick me up but there's no other passenger sharing. The driver took very Long to come and took rather Long to send me to my destination, I what's app my location to my Friend and she said that's too far from her house so I asked the driver, is it that the GPS direct you a longer route? He replied,"" The GPS hang and I missed the turn."" ""Oh! No wonder as my place is actually near my friend's house."" 

Then in the evening I left my friend's house, using grab share too, price surge a bit but still slightly cheaper, it was still drizzling as it was raining the entire day. Today my total grabshare fare was $31.50 for total 4 trips after discount of $20! I had never spent so much on taxi fare in just one day! But I really appreciate the discount given and provides me so much convenience! Still, I wish the $5 discount won't run out for me when I needed it most especially nowadays the $5 promotion runs out fast even just after 6pm or 7.30pm!",4,1,1/2/18 0:14,1/2/18 10:34,Grab,Grab
60, Cosmetics,Complexion make-up,Highlighter,644,"[Satisfaction Achat][Fenti, Sephora]",Oui,Achat,10/7/2017,web,"Fenti, Sephora",,Face make-up,Highlighter,"I love that it has a understated half and another that allows you to amp it up. Such a lovely, soft texture. Such a sweet, light peachy shade that anyone can wear.",5,1,1/3/18 1:45,1/3/18 10:17,Killawatt Freestyle Highlighter Duo in Girl Next Door/Chic Phreak,Fenti
